First Name,Last Name,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,HBP,SH,SF,AVG,OBP,SLG,Inducted,HOF Prediction,Yes HOF Probability
Tony,Fernandez,2158.0,7911.0,1057.0,2276.0,414.0,92.0,94.0,844.0,246.0,690.0,784.0,64.0,67.0,61.0,0.28770066995323,0.347238138895256,0.398938187334092,0,1,0.6029790043830872
Jack,Fournier,1530.0,5208.0,822.0,1631.0,252.0,113.0,136.0,859.0,145.0,587.0,408.0,89.0,149.0,0.0,0.313172043010753,0.392080217539089,0.483294930875576,0,1,0.9624541401863098
Julio,Franco,2527.0,8677.0,1285.0,2586.0,407.0,54.0,173.0,1194.0,281.0,917.0,1341.0,38.0,19.0,80.0,0.298029272790135,0.364600494233937,0.417194883024087,0,1,0.9650196433067322
Larry,Gardner,1923.0,6688.0,867.0,1931.0,301.0,129.0,27.0,934.0,165.0,654.0,341.0,32.0,311.0,0.0,0.288726076555024,0.354895579061568,0.38441985645933,0,1,0.6675959229469299
Charlie,Gehringer,2323.0,8860.0,1774.0,2839.0,574.0,146.0,184.0,1427.0,181.0,1186.0,372.0,50.0,141.0,0.0,0.320428893905192,0.403625198098257,0.480474040632054,0,1,0.9999984502792358
Jack,Glasscock,1737.0,7033.0,1164.0,2041.0,313.0,98.0,27.0,827.0,372.0,440.0,212.0,62.0,17.0,0.0,0.290203327171904,0.337491705374917,0.374093558936442,0,1,0.9944408535957336
Billy,Goodman,1623.0,5644.0,807.0,1691.0,299.0,44.0,19.0,591.0,37.0,669.0,329.0,29.0,89.0,15.0,0.299610205527994,0.375806197892087,0.378277817150957,0,1,0.9611730575561523
George,Grantham,1444.0,4989.0,912.0,1508.0,292.0,93.0,105.0,712.0,132.0,717.0,526.0,23.0,168.0,0.0,0.302264982962518,0.39238959678827,0.461214672279014,0,1,0.9692939519882202
Mike,Griffin,1513.0,5923.0,1406.0,1755.0,314.0,108.0,42.0,720.0,473.0,809.0,284.0,78.0,38.0,0.0,0.296302549383758,0.387958883994126,0.407057234509539,0,1,0.5321503281593323
Charlie,Grimm,2166.0,7917.0,908.0,2299.0,394.0,108.0,79.0,1078.0,57.0,578.0,410.0,31.0,219.0,0.0,0.290387773146394,0.341074360778794,0.397372742200328,0,1,0.9527998566627502
Heinie,Groh,1676.0,6074.0,918.0,1774.0,308.0,87.0,26.0,566.0,180.0,696.0,345.0,83.0,182.0,0.0,0.292064537372407,0.372537574784766,0.384260783668094,0,1,0.9799686670303345
Stan,Hack,1938.0,7278.0,1239.0,2193.0,363.0,81.0,57.0,642.0,165.0,1092.0,466.0,21.0,115.0,0.0,0.301319043693322,0.393993564533429,0.396949711459192,0,1,0.5065938234329224
Bill,Hallman,1507.0,6030.0,942.0,1641.0,236.0,82.0,21.0,772.0,200.0,426.0,403.0,52.0,129.0,0.0,0.272139303482587,0.32559926244622,0.348922056384743,0,1,0.9474402070045471
Tommy,Henrich,1284.0,4603.0,901.0,1297.0,269.0,73.0,183.0,795.0,37.0,712.0,383.0,34.0,60.0,0.0,0.281772756897675,0.381940549635446,0.491201390397567,0,1,0.7472459077835083
Pinky,Higgins,1802.0,6636.0,930.0,1941.0,374.0,51.0,140.0,1075.0,61.0,800.0,590.0,22.0,96.0,0.0,0.29249547920434,0.370474658085278,0.427516576250753,0,1,0.8861862421035767
Gil,Hodges,2071.0,7030.0,1105.0,1921.0,295.0,48.0,370.0,1274.0,63.0,943.0,1137.0,25.0,56.0,50.0,0.27325746799431,0.358971172962227,0.486770981507824,0,1,0.5028073191642761
Shoeless Joe,Jackson,1332.0,4981.0,873.0,1772.0,307.0,168.0,54.0,785.0,202.0,519.0,172.0,59.0,131.0,0.0,0.355751857056816,0.42273790250045,0.517365990764907,0,1,0.6359770894050598
Baby Doll,Jacobson,1472.0,5507.0,787.0,1714.0,328.0,94.0,83.0,821.0,86.0,355.0,410.0,39.0,171.0,0.0,0.311240239694934,0.357227588544315,0.45015434901035,0,1,0.989436149597168
Charlie,Jamieson,1779.0,6560.0,1062.0,1990.0,322.0,80.0,18.0,552.0,131.0,748.0,345.0,35.0,145.0,0.0,0.303353658536585,0.377638567343048,0.385060975609756,0,1,0.796726644039154
Derek,Jeter,2747.0,11195.0,1923.0,3465.0,544.0,66.0,260.0,1311.0,358.0,1082.0,1840.0,170.0,97.0,58.0,0.309513175524788,0.377209116353459,0.439571237159446,0,1,0.9940834641456604
Bob,Johnson,1863.0,6920.0,1239.0,2051.0,396.0,95.0,288.0,1283.0,96.0,1075.0,851.0,24.0,28.0,0.0,0.296387283236994,0.392817059483726,0.505924855491329,0,1,0.9917284846305847
Joe,Judge,2171.0,7898.0,1184.0,2352.0,433.0,159.0,71.0,1034.0,213.0,965.0,478.0,51.0,257.0,0.0,0.297796910610281,0.377832622840476,0.419853127374019,0,1,0.9998824596405029
Willie,Kamm,1693.0,5851.0,802.0,1643.0,348.0,85.0,29.0,826.0,126.0,824.0,405.0,22.0,238.0,0.0,0.280806699709451,0.371658951769449,0.384207827721757,0,1,0.8083855509757996
Tommy,Leach,2156.0,7959.0,1355.0,2143.0,266.0,172.0,63.0,810.0,361.0,820.0,666.0,32.0,240.0,0.0,0.269254931524061,0.339916014073317,0.369644427691921,0,1,0.9774098992347717
Kenny,Lofton,2103.0,8120.0,1528.0,2428.0,383.0,116.0,130.0,781.0,622.0,945.0,1016.0,32.0,72.0,65.0,0.299014778325123,0.371643745907007,0.422783251231527,0,1,0.9945856928825378
Herman,Long,1875.0,7678.0,1456.0,2129.0,342.0,97.0,91.0,1055.0,537.0,612.0,462.0,57.0,158.0,0.0,0.277285751497786,0.335210255181502,0.382651732221933,0,1,0.7364820241928101
Bobby,Lowe,1821.0,7078.0,1135.0,1934.0,230.0,85.0,71.0,989.0,303.0,474.0,436.0,71.0,143.0,0.0,0.273241028539135,0.32520005247278,0.359847414523877,0,1,0.895254373550415
Ed,McKean,1655.0,6894.0,1227.0,2084.0,272.0,158.0,67.0,1124.0,324.0,636.0,257.0,39.0,57.0,0.0,0.302291847983754,0.364513145725988,0.416739193501596,0,1,0.9997753500938416
Marty,McManus,1831.0,6660.0,1008.0,1926.0,401.0,88.0,120.0,999.0,126.0,675.0,558.0,30.0,198.0,0.0,0.289189189189189,0.357230142566191,0.42987987987988,0,1,0.5043231844902039
Bob,Meusel,1407.0,5475.0,826.0,1693.0,368.0,95.0,156.0,1068.0,142.0,375.0,619.0,21.0,157.0,0.0,0.309223744292237,0.355816726281724,0.49662100456621,0,1,0.7482550740242004
Buddy,Myer,1923.0,7038.0,1174.0,2131.0,353.0,130.0,38.0,850.0,156.0,965.0,428.0,33.0,151.0,0.0,0.30278488206877,0.389372822299652,0.406081273088946,0,1,0.9606180787086487
Rafael,Palmeiro,2831.0,10472.0,1663.0,3020.0,585.0,38.0,569.0,1835.0,97.0,1353.0,1348.0,87.0,15.0,119.0,0.28838808250573,0.370709001745491,0.514514896867838,0,1,0.9994175434112549
Del,Pratt,1836.0,6826.0,856.0,1996.0,392.0,117.0,43.0,970.0,247.0,513.0,360.0,37.0,233.0,0.0,0.292411368297685,0.345173535791757,0.403017872839144,0,1,0.7177212238311768
Manny,Ramirez,2302.0,8244.0,1544.0,2574.0,547.0,20.0,555.0,1831.0,38.0,1329.0,1813.0,109.0,2.0,90.0,0.312227074235808,0.410560785918952,0.585395439107229,0,1,0.6303146481513977
Claude,Ritchey,1672.0,5923.0,709.0,1619.0,216.0,68.0,18.0,675.0,155.0,607.0,290.0,72.0,224.0,0.0,0.273341212223535,0.348076340502878,0.341887556981259,0,1,0.9320128560066223
Alex,Rodriguez,2784.0,10566.0,2021.0,3115.0,548.0,31.0,696.0,2086.0,329.0,1338.0,2287.0,176.0,16.0,111.0,0.294813552905546,0.379706340743171,0.550160893431762,0,1,0.5580215454101562
Jimmy,Ryan,2014.0,8172.0,1643.0,2513.0,451.0,157.0,118.0,1093.0,419.0,804.0,491.0,83.0,65.0,0.0,0.307513460597161,0.375317363947456,0.444444444444444,0,1,0.8576200604438782
Kip,Selbach,1612.0,6165.0,1066.0,1807.0,301.0,149.0,44.0,779.0,334.0,785.0,358.0,42.0,110.0,0.0,0.293106244931062,0.376716247139588,0.411678832116788,0,1,0.9988662004470825
Gary,Sheffield,2576.0,9217.0,1636.0,2689.0,467.0,27.0,509.0,1676.0,253.0,1475.0,1171.0,135.0,9.0,111.0,0.291743517413475,0.393033461327482,0.513941629597483,0,1,0.9995074272155762
Sammy,Sosa,2354.0,8813.0,1475.0,2408.0,379.0,45.0,609.0,1667.0,234.0,929.0,2306.0,59.0,17.0,78.0,0.273232724384432,0.343759489826906,0.533756949960286,0,1,0.5719745755195618
Chick,Stahl,1304.0,5069.0,858.0,1546.0,219.0,118.0,36.0,622.0,189.0,470.0,270.0,44.0,126.0,0.0,0.304991122509371,0.368977252373276,0.416058394160584,0,1,0.8000039458274841
Milt,Stock,1628.0,6249.0,839.0,1806.0,270.0,58.0,22.0,696.0,155.0,455.0,321.0,13.0,234.0,0.0,0.28900624099856,0.338543992853953,0.361337814050248,0,1,0.7293533682823181
Harry,Stovey,1489.0,6153.0,1495.0,1775.0,348.0,176.0,122.0,912.0,509.0,664.0,452.0,31.0,0.0,0.0,0.288477165610271,0.360689252336449,0.461725987323257,0,1,0.9184577465057373
Mike,Tiernan,1478.0,5915.0,1316.0,1838.0,257.0,162.0,106.0,853.0,428.0,748.0,376.0,41.0,28.0,0.0,0.310735418427726,0.391855608591885,0.462721893491124,0,1,0.952406644821167
John,Titus,1402.0,4960.0,738.0,1401.0,253.0,72.0,38.0,561.0,140.0,620.0,389.0,94.0,144.0,0.0,0.282459677419355,0.37275290800141,0.385483870967742,0,1,0.8714736700057983
Jack,Tobin,1619.0,6174.0,936.0,1906.0,294.0,99.0,64.0,581.0,147.0,508.0,267.0,29.0,161.0,0.0,0.308713961775186,0.364029205781553,0.419501133786848,0,1,0.683396577835083
Elmer,Valo,1806.0,5029.0,768.0,1420.0,228.0,73.0,58.0,601.0,110.0,942.0,284.0,38.0,65.0,17.0,0.282362298667727,0.398274145370063,0.391330284350766,0,1,0.8622152209281921
George,Van Haltren,1990.0,8043.0,1642.0,2544.0,286.0,161.0,69.0,1015.0,583.0,871.0,498.0,38.0,65.0,0.0,0.316299888101455,0.385723860589812,0.41763023747358,0,1,0.999909520149231
Bobby,Veach,1821.0,6656.0,953.0,2063.0,393.0,147.0,64.0,1166.0,195.0,571.0,367.0,59.0,271.0,0.0,0.309945913461538,0.369612956354653,0.442007211538462,0,1,0.6112691760063171
Mickey,Vernon,2409.0,8731.0,1196.0,2495.0,490.0,120.0,172.0,1311.0,137.0,955.0,869.0,49.0,80.0,19.0,0.285763371893254,0.358724625794546,0.428473256213492,0,1,0.9613587856292725
Omar,Vizquel,2968.0,10586.0,1445.0,2877.0,456.0,77.0,80.0,951.0,404.0,1028.0,1087.0,49.0,256.0,94.0,0.271774041186473,0.336310283235519,0.352068770073682,0,1,0.7980733513832092
Honus,Wagner,2794.0,10439.0,1739.0,3420.0,643.0,252.0,101.0,1733.0,723.0,963.0,735.0,125.0,221.0,0.0,0.32761758789156,0.39108180792921,0.466519781588275,0,1,0.6717064380645752
Dixie,Walker,1905.0,6740.0,1037.0,2064.0,376.0,96.0,105.0,1023.0,59.0,817.0,325.0,16.0,93.0,0.0,0.306231454005935,0.38254324574145,0.437240356083086,0,1,0.9997796416282654
Billy,Werber,1295.0,5024.0,875.0,1363.0,271.0,50.0,78.0,539.0,215.0,701.0,363.0,32.0,88.0,0.0,0.271297770700637,0.364078513114469,0.39171974522293,0,1,0.7752477526664734
Sam,West,1753.0,6148.0,934.0,1838.0,347.0,101.0,75.0,838.0,53.0,696.0,540.0,5.0,123.0,0.0,0.298959011060507,0.370711052708425,0.424853610930384,0,1,0.6453147530555725
Bernie,Williams,2076.0,7869.0,1366.0,2336.0,449.0,55.0,287.0,1257.0,147.0,1069.0,1212.0,39.0,12.0,64.0,0.296861100521032,0.380931312907864,0.477316050324056,0,1,0.5711032748222351
Cy,Williams,2002.0,6780.0,1024.0,1981.0,306.0,74.0,251.0,1005.0,115.0,690.0,721.0,86.0,164.0,0.0,0.292182890855457,0.364875595553203,0.470206489675516,0,1,0.5896264910697937
Ken,Williams,1397.0,4862.0,860.0,1552.0,285.0,77.0,196.0,913.0,154.0,566.0,287.0,28.0,160.0,0.0,0.319210201563143,0.393328445747801,0.530440148087207,0,1,0.8602684140205383
